"","row.names(summary_model_factors_Tpref$coefficients)","Estimate","Std. Error","Pr(>|z|)","Pr(>Chisq)","print(r2_model_factors_Tpref$R2_conditional)","print(r2_model_factors_Tpref$R2_marginal)"
"1","(Intercept)",32.053655585077,0.93937929670012,3.46087972945516e-255,3.46087972945479e-255,NA,NA
"2","Length_mm",0.882708059129587,0.191871166224246,4.2142783505903e-06,4.21427835059031e-06,NA,NA
"3","Length_legs_mm",-0.0669902070329727,0.0888759607921479,0.450999679536542,0.450999679536542,NA,NA
"4","devJuvenile",-0.423758580803374,0.2594459647699,0.102401471433762,0.102401471433762,NA,NA
"5","UHI_03_04_pixel.x",-0.226162582309037,0.200002255627378,0.258139213343399,0.258139213343399,NA,NA
"6","SexM",-0.836092929490698,0.506910237458023,0.0990676599199973,0.0990676599199973,NA,NA
"7","UHI_03_04_pixel.x:SexM",0.506922397190323,0.286354946899857,0.0766840191378127,0.0766840191378131,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,0.0888736846627844
